Species,TreeName,Lat,Long
A_digitata,AdBesa_20,-17.175,44.2556
A_digitata,AdBesa_21,-17.3537,44.1694
A_digitata,AdBesa_22,-17.3394,44.1858
A_digitata,AdBesa_24,-17.2733,44.2747
A_digitata,AdBesa_25,-17.2731,44.3058
A_digitata,AdBesa_26,-17.3372,44.2858
A_digitata,AdBesa_27,-17.2378,44.2358
A_digitata,AdBesa_28,-17.4042,44.2028
A_digitata,AdBesa_30,-17.2786,44.2917
A_digitata,AdBesa_31,-17.3867,44.3867
A_digitata,AdBesa_32,-17.3289,44.2853
A_digitata,AdMaha_01,-15.7186,46.3192
A_digitata,AdMaha_02,-15.704,46.3225
A_digitata,AdMaha_03,-15.6574,46.3332
A_digitata,AdMaha_04,-15.6571,46.3334
A_digitata,AdMaha_05,-15.7196,46.3131
A_digitata,AdMaha_06,-15.722,46.3057
A_digitata,AdMaha_07,-15.7184,46.3193
A_digitata,AdMaha_08,-15.6736,46.3413
A_digitata,AdMaha_09,-15.6575,46.3331
A_digitata,AdMaha_10,-15.6702,46.3472
A_digitata,AdMaha_11,-15.72,46.3123
A_digitata,AdMaha_12,-15.7214,46.305
A_digitata,AdMaha_13,-15.7186,46.3195
A_digitata,AdMaha_14,-15.6732,46.3408
A_digitata,AdMaha_15,-15.6574,46.3333
A_digitata,AdMaha_16,-15.6674,46.3473
A_digitata,AdMaha_17,-15.72,46.3122
A_digitata,AdMaha_18,-15.7187,46.3196
A_digitata,AdMaha_19,-15.6728,46.3409
A_digitata,AdMaha_20,-15.6576,46.3329
A_digitata,AdMaha_21,-15.7012,46.3236
A_digitata,AdMaha_22,-15.7221,46.3063
A_digitata,AdMaha_23,-15.7171,46.3226
A_digitata,AdMaha_24,-15.6576,46.3341
A_digitata,AdMaha_25,-15.6577,46.3333
A_digitata,AdMaha_26,-15.7123,46.3189
A_digitata,AdMaha_27,-15.7053333333333,46.3058
A_digitata,AdMits_01,-16.0066,45.8613
A_digitata,AdMits_02,-16.0143,45.8416
A_digitata,AdMits_03,-16.0096,45.8697
A_digitata,AdMits_04,-16.0096,45.8662
A_digitata,AdMits_05,-16.0134,45.8667
A_digitata,AdMits_06,-16.0075,45.8613
A_digitata,AdMits_07,-16.0293,45.5755
A_digitata,AdMits_08,-16.0301,45.5744
A_digitata,AdMits_09,-16.0066,45.8614
A_digitata,AdMits_10,-15.9955,45.8745
A_digitata,AdMits_11,-16.0084,45.8711
A_digitata,AdMits_12,-16.0106,45.8671
A_digitata,AdMits_13,-16.0136,45.8663
A_digitata,AdMits_14,-16.0132,45.867
A_digitata,AdMits_15,-16.03,45.575
A_digitata,AdMits_16,-15.9932,45.6312
A_digitata,AdMits_17,-16.0074,45.8612
A_digitata,AdMits_18,-15.9955888888889,45.8744
A_digitata,AdMits_19,-16.0026,45.8756
A_digitata,AdMits_20,-16.012,45.8671
A_digitata,AdMits_21,-16.0136,45.8662
A_digitata,AdMits_22,-16.0132,45.8672
A_digitata,AdMits_23,-16.0299,45.5747
A_digitata,AdMits_24,-15.9449,45.8005
A_digitata,AdMits_25,-16.0075,45.8611
A_digitata,AdMits_26,-16.007,45.8712
A_digitata,AdMits_27,-16.0026,45.8762
A_digitata,AdMits_28,-16.0133,45.8665
A_digitata,AdMits_29,-16.0136,45.8661
A_digitata,AdMits_30,-16.0132,45.8672
A_digitata,AdMits_31,-16.0299,45.5748
A_digitata,AdMits_32,-16.0597,45.575
A_digitata,AdMits_33,-16.0142,45.8416
A_digitata,AdMits_34,-16.0076,45.871
A_digitata,AdMits_35,-16.0097,45.8664
A_digitata,AdMits_36,-16.0133,45.8666
A_digitata,AdMits_37,-16.0132,45.8659
A_digitata,AdMits_38,-16.0303,45.5741
A_digitata,AdMora_01,-15.4153,47.23
A_digitata,AdMora_02,-15.4131,47.2321
A_digitata,AdMora_03,-15.4117,47.2334
A_digitata,AdMora_04,-15.4114,47.2336
A_digitata,AdMora_05,-15.4056,47.2419
A_digitata,AdMora_06,-15.4027,47.2418
A_digitata,AdMora_07,-15.4340888888889,47.3387
A_digitata,AdMora_08,-15.4056,47.242
A_digitata,AdMora_09,-15.4118,47.2334
A_digitata,AdMora_10,-15.4206,47.2138
A_digitata,AdMora_11,-15.4055,47.242
A_digitata,AdMora_12,-15.4113,47.2337
A_digitata,AdMora_13,-15.4177,47.2246
A_digitata,AdMora_14,-15.4056,47.2418
A_digitata,AdMora_15,-15.4188,47.2184
A_digitata,AdMora_16,-15.4166,47.2279
A_digitata,AdSoal_01,-16.082,45.3381
A_digitata,AdSoal_02,-16.0969,45.8405
A_digitata,AdSoal_03,-16.0942,45.3379
A_digitata,AdSoal_04,-16.0818,45.3375
A_digitata,AdSoal_05,-16.082,45.33738889
A_digitata,AdSoal_06,-16.0819,45.337
A_digitata,AdSoal_07,-16.0822,45.3363
A_digitata,AdSoal_08,-16.0995,45.3289
A_digitata,AdSoal_09,-16.1007,45.3276
A_digitata,AdSoal_10,-16.099,45.3318
A_digitata,AdSoal_11,-16.0995,45.329
A_digitata,AdSoal_12,-16.1019,45.3265
A_digitata,AdSoal_13,-16.0834,45.3377
A_digitata,AdSoal_14,-16.0818,45.3376
A_digitata,AdSoal_15,-16.0822,45.3364
A_digitata,AdSoal_16,-16.082,45.3371
A_digitata,AdSoal_17,-16.0838,45.3373
A_digitata,AdSoal_18,-16.0999,45.3288
A_digitata,AdSoal_19,-16.1021,45.3271
A_digitata,AdSoal_20,-16.0991,45.3318
A_digitata,AdSoal_21,-16.0998,45.3289
A_digitata,AdSoal_22,-16.1022,45.3271
A_digitata,AdSoal_23,-16.1008,45.3277
A_digitata,AdSoal_24,-16.0821,45.3371
A_digitata,AdSoal_25,-16.0822,45.3363
A_digitata,AdSoal_26,-16.082,45.3367
A_digitata,AdSoal_27,-16.0833,45.3376
A_digitata,AdSoal_28,-16.1007,45.3292
A_digitata,AdSoal_29,-16.102,45.3265
A_digitata,AdSoal_30,-16.102,45.31866667
A_digitata,AdSoal_31,-16.0824,45.3379
A_digitata,AdSoal_32,-16.0838,45.3373
A_digitata,AdSoal_33,-16.0831,45.3373
A_digitata,AdSoal_34,-16.0817,45.3367
A_digitata,AdSoal_35,-16.0817,45.3368
A_digitata,AdSoal_36,-16.0834,45.3377
A_digitata,AdSoal_37,-16.1002,45.3296
A_digitata,AdSoal_38,-16.1041,45.3273
A_digitata,AdSoal_39,-16.1001,45.3299
A_digitata,AdSoal_40,-16.0819,45.3364
A_digitata,AdSoal_41,-16.0834,45.3375
A_digitata,AdSoal_42,-16.0821,45.3381
A_digitata,AdSoal_43,-16.082,45.3369
A_digitata,AdSoal_44,-16.0822,45.3364
A_digitata,AdSoal_45,-16.0833,45.3374
A_digitata,AdSoal_46,-16.11,45.33
A_digitata,AdSoal_47,-16.1246,45.3344
A_digitata,AdSoal_48,-16.1001,45.33
A_digitata,AdSoal_49,-16.1007,45.3293
A_digitata,AdSoal_50,-16.0831,45.3375
A_digitata,AdSoal_51,-16.0821,45.3373
A_digitata,AdSoal_52,-16.082,45.3368
A_digitata,Mahg_03,-15.65214688,46.33751932
A_digitata,Mahg_04,-15.65414764,46.33874517
A_digitata,Mahg_05,-15.65766284,46.33412263
A_digitata,Mahg_06,-15.65793877,46.33397712
A_digitata,Mahg_07,-15.65789343,46.3334903
A_digitata,Mahg_08,-15.65776778,46.33333105
A_digitata,Mahg_09,-15.65705851,46.33346977
A_digitata,Mahg_10,-15.65739412,46.33318034
A_digitata,Mahg_11,-15.65761163,46.33282939
A_digitata,Mahg_14,-15.66901177,46.34803584
A_digitata,Mahg_15,-15.66850391,46.34797289
A_digitata,Mahg_16,-15.66834223,46.34764189
A_digitata,Mahj_01,-15.64204417,46.34188897
A_digitata,Mahj_02,-15.21934211,47.04098471
A_digitata,Mahj_02,-15.63944033,46.342527
A_digitata,Mahj_03,-15.30636798,47.08143569
A_digitata,Mahj_04,-15.30687517,47.08083345
A_digitata,Mahj_05,-15.30703258,47.08026515
A_digitata,Mahj_06,-15.30680191,47.07975277
A_digitata,Mahj_07,-15.30677794,47.07980582
A_digitata,Mahj_08,-15.30646613,47.08136721
A_digitata,Mahj_09,-15.30602474,47.08197741
A_digitata,MITJ_01,-16.0075555555556,45.87097222
A_digitata,MITJ_01,-16.0075555555556,45.87097222
A_digitata,MITJ_02,-16.002,45.87561111
A_digitata,MITJ_03,-16.0025,45.87616667
A_digitata,MITJ_04,-15.9955277777778,45.87444444
A_digitata,MITJ_05,-15.9956666666667,45.8745
A_digitata,MITJ_06,-16.0065277777778,45.87191667
A_digitata,MITJ_07,-16.0069444444444,45.87116667
A_digitata,MITJ_08,-16.0120833333333,45.86836111
A_digitata,SOAL_01,-16.1019166666667,45.32652778
A_digitata,SOAL_02,-16.1006944444444,45.32780556
A_digitata,SOAL_03,-16.1006388888889,45.32919444
A_digitata,SOAL_04,-16.0997777777778,45.32891667
A_digitata,SOAL_05,-16.0995,45.32894444
A_digitata,SOAL_06,-16.1020833333333,45.32716667
A_digitata,SOAL_07,-16.0931111111111,45.32441667
A_digitata,SOAL_08,-16.0988888888889,45.33216667
A_grandidieri,Abbg_01,-20.2490689,44.42017288
A_grandidieri,Abbg_02,-20.24902783,44.42015754
A_grandidieri,Abbg_03,-20.24903596,44.42012762
A_grandidieri,Abbg_04,-20.24854956,44.41985143
A_grandidieri,Abbg_05,-20.24893345,44.41917401
A_grandidieri,Abbg_06,-20.24907444,44.4191383
A_grandidieri,Abbg_07,-20.24904401,44.41961087
A_grandidieri,Abbg_08,-20.24898207,44.41964834
A_grandidieri,Abbg_09,-20.24901283,44.41967659
A_grandidieri,Abbg_10,-20.24893907,44.41983417
A_grandidieri,Abbg_11,-20.24918558,44.42001136
A_grandidieri,Abbg_12,-20.24934467,44.41991287
A_grandidieri,Abbg_13,-20.24922338,44.41964398
A_grandidieri,Abbg_14,-20.24943628,44.41964499
A_grandidieri,Abbg_15,-20.2496584,44.41962386
A_grandidieri,Abbg_16,-20.24976133,44.41949495
A_grandidieri,Abbg_17,-20.2492026,44.4191238
A_grandidieri,Abbg_18,-20.24923109,44.41894853
A_grandidieri,Abbg_19,-20.24941063,44.41887511
A_grandidieri,Abbg_20,-20.24988664,44.41924693
A_grandidieri,Abbg_21,-20.25047371,44.41911525
A_grandidieri,Abbg_22,-20.25031823,44.41897485
A_grandidieri,Abbg_23,-20.25013567,44.41876799
A_grandidieri,Abbg_24,-20.2498941,44.41847856
A_grandidieri,Abbg_25,-20.25035528,44.41815494
A_grandidieri,Abbg_26,-20.25056331,44.41877377
A_grandidieri,Abbg_27,-20.25071301,44.41872298
A_grandidieri,Abbg_28,-20.25066038,44.4187519
A_grandidieri,Abbg_29,-20.25069206,44.41883295
A_grandidieri,Abbg_30,-20.25090496,44.41887712
A_grandidieri,Abbg_31,-20.25158959,44.4193766
A_grandidieri,Abbg_32,-20.25127837,44.41980525
A_grandidieri,Abbg_33,-20.25104351,44.41985412
A_grandidieri,Abbg_34,-20.25089306,44.41979377
A_grandidieri,Abbg_35,-20.25031814,44.41946251
A_grandidieri,Abbg_36,-20.25026567,44.41938196
A_grandidieri,Abbg_37,-20.25032979,44.41926336
A_grandidieri,Abbg_38,-20.24992872,44.41951289
A_grandidieri,Abbg_39,-20.25075409,44.42054805
A_grandidieri,Abbg_40,-20.25051244,44.42019375
A_grandidieri,Abbg_41,-20.25026936,44.42018931
A_grandidieri,Abbg_42,-20.2499972,44.4201272
A_grandidieri,Abbg_43,-20.24975195,44.4198827
A_grandidieri,Abbg_44,-20.24975195,44.4198827
A_grandidieri,Abbg_45,-20.24949848,44.4200132
A_grandidieri,Abbg_46,-20.24930251,44.42025033
A_grandidieri,Abbg_47,-20.24912909,44.42026885
A_grandidieri,Adag_01,-22.0533552,43.28799435
A_grandidieri,Adag_02,-22.05303024,43.28796987
A_grandidieri,Adag_03,-22.05306544,43.28791279
A_grandidieri,Adag_04,-22.0528921,43.28770584
A_grandidieri,Adag_05,-22.05302118,43.28757978
A_grandidieri,Adag_06,-22.05306586,43.28767785
A_grandidieri,Adag_07,-22.05304549,43.28774163
A_grandidieri,Adag_08,-22.05304549,43.28774163
A_grandidieri,Adag_09,-22.05306469,43.28772395
A_grandidieri,Adag_10,-22.05310165,43.28773954
A_grandidieri,Adag_11,-22.05324917,43.28758414
A_grandidieri,Adag_12,-22.0532117,43.2875605
A_grandidieri,Adag_13,-22.05325789,43.28769092
A_grandidieri,Adag_14,-22.05329033,43.28771934
A_grandidieri,Adag_15,-22.05328781,43.2878107
A_grandidieri,Adag_16,-22.05328781,43.2878107
A_grandidieri,Adag_17,-22.05323769,43.28784021
